id,name,followers_count,followed_by,register_date,link
887748030304329728,The Crypto Dog 📈,38,"https://x.com/0xRaghav, https://x.com/QwQiao, https://x.com/OmniscientAsian, https://x.com/Darrenlautf, https://x.com/0xWenMoon, https://x.com/0xminion, https://x.com/ishanee_, https://x.com/Daryllautk, https://x.com/sandraaleow, https://x.com/YeouJie, https://x.com/masonnystrom, https://x.com/andyisnotandy, https://x.com/benlakoff, https://x.com/OuroborosCap8, https://x.com/panekkkk, https://x.com/AliceL991, https://x.com/Shaughnessy119, https://x.com/lmrankhan, https://x.com/notnotstorm, https://x.com/j0hnwang, https://x.com/krybharat, https://x.com/CryptoSources, https://x.com/0xMaki, https://x.com/sjrosenblum, https://x.com/0xdetweiler, https://x.com/ceterispar1bus, https://x.com/samoyedali, https://x.com/0xChanglu, https://x.com/alexgedevani, https://x.com/MariaShen, https://x.com/mattyryze, https://x.com/zacxbt, https://x.com/AustinBarack, https://x.com/roybitsir, https://x.com/GrantStenger, https://x.com/tomhschmidt, https://x.com/kapursanat, https://x.com/0xbilly",2017-07-19 18:56:38+00:00,https://x.com/i/user/887748030304329728
356651832,Ben Pasternak,28,"https://x.com/QwQiao, https://x.com/0xminion, https://x.com/janehk, https://x.com/rishisthinking, https://x.com/sandraaleow, https://x.com/pet3rpan_, https://x.com/bridge__harris, https://x.com/panekkkk, https://x.com/tkstanczak, https://x.com/firstc0in, https://x.com/lmrankhan, https://x.com/j0hnwang, https://x.com/krybharat, https://x.com/CryptoSources, https://x.com/jonathankingvc, https://x.com/HoolieG, https://x.com/0xdetweiler, https://x.com/ceterispar1bus, https://x.com/alexgedevani, https://x.com/jnwng, https://x.com/MariaShen, https://x.com/mattyryze, https://x.com/zacxbt, https://x.com/AustinBarack, https://x.com/roybitsir, https://x.com/GrantStenger, https://x.com/tomhschmidt, https://x.com/kapursanat",2011-08-17 04:56:43+00:00,https://x.com/i/user/356651832
1891647168441876484,Mosi,24,"https://x.com/serg_xyz, https://x.com/0xRaghav, https://x.com/luffistotle, https://x.com/OmniscientAsian, https://x.com/0xWenMoon, https://x.com/reganbozman, https://x.com/andyisnotandy, https://x.com/Mikey0x_, https://x.com/pet3rpan_, https://x.com/BigBrainKasey, https://x.com/bridge__harris, https://x.com/geenty, https://x.com/j0hnwang, https://x.com/_weidai, https://x.com/CryptoSources, https://x.com/jennyqcheng, https://x.com/0xMaki, https://x.com/0xChanglu, https://x.com/alexgedevani, https://x.com/MariaShen, https://x.com/mattyryze, https://x.com/zacxbt, https://x.com/GrantStenger, https://x.com/tomhschmidt",2025-02-18 00:33:34+00:00,https://x.com/i/user/1891647168441876484
924134809,ultra,24,"https://x.com/serg_xyz, https://x.com/NTmoney, https://x.com/Darrenlautf, https://x.com/0xWenMoon, https://x.com/0xminion, https://x.com/0xRainandCoffee, https://x.com/sandraaleow, https://x.com/andyisnotandy, https://x.com/pet3rpan_, https://x.com/tkstanczak, https://x.com/j0hnwang, https://x.com/CryptoSources, https://x.com/sjdedic, https://x.com/0xMaki, https://x.com/0xdetweiler, https://x.com/samoyedali, https://x.com/0xChanglu, https://x.com/thetinaverse, https://x.com/MariaShen, https://x.com/mattyryze, https://x.com/zacxbt, https://x.com/AustinBarack, https://x.com/roybitsir, https://x.com/GrantStenger",2012-11-03 22:09:01+00:00,https://x.com/i/user/924134809
1039225922921148419,0age,23,"https://x.com/KyleSamani, https://x.com/0xminion, https://x.com/janehk, https://x.com/Daryllautk, https://x.com/0xRainandCoffee, https://x.com/andyisnotandy, https://x.com/caseykcaruso, https://x.com/tkstanczak, https://x.com/geenty, https://x.com/notnotstorm, https://x.com/j0hnwang, https://x.com/0xMaki, https://x.com/sjrosenblum, https://x.com/yekiM_o, https://x.com/caitlinxyz, https://x.com/gakonst, https://x.com/alexgedevani, https://x.com/MariaShen, https://x.com/mattyryze, https://x.com/delitzer, https://x.com/GrantStenger, https://x.com/tomhschmidt, https://x.com/kapursanat",2018-09-10 18:55:42+00:00,https://x.com/i/user/1039225922921148419
876699190696361984,Alex 🗡,23,"https://x.com/QwQiao, https://x.com/KyleSamani, https://x.com/NTmoney, https://x.com/0xminion, https://x.com/janehk, https://x.com/reganbozman, https://x.com/Daryllautk, https://x.com/panekkkk, https://x.com/lmrankhan, https://x.com/notnotstorm, https://x.com/j0hnwang, https://x.com/_weidai, https://x.com/cooper_kunz, https://x.com/0xMaki, https://x.com/yekiM_o, https://x.com/MariaShen, https://x.com/mattyryze, https://x.com/AustinBarack, https://x.com/roybitsir, https://x.com/delitzer, https://x.com/GrantStenger, https://x.com/tomhschmidt, https://x.com/kapursanat",2017-06-19 07:12:30+00:00,https://x.com/i/user/876699190696361984
1646945251305873408,James Wynn,23,"https://x.com/serg_xyz, https://x.com/0xRaghav, https://x.com/OmniscientAsian, https://x.com/0xWenMoon, https://x.com/0xminion, https://x.com/janehk, https://x.com/YeouJie, https://x.com/benlakoff, https://x.com/AliceL991, https://x.com/Shaughnessy119, https://x.com/j0hnwang, https://x.com/krybharat, https://x.com/AjeetK, https://x.com/sjdedic, https://x.com/jonathankingvc, https://x.com/jennyqcheng, https://x.com/0xdetweiler, https://x.com/0xChanglu, https://x.com/pokeapallascat, https://x.com/mattyryze, https://x.com/zacxbt, https://x.com/AustinBarack, https://x.com/roybitsir",2023-04-14 18:35:29+00:00,https://x.com/i/user/1646945251305873408
15894997,Curtis Spencer,23,"https://x.com/serg_xyz, https://x.com/KyleSamani, https://x.com/0xWenMoon, https://x.com/0xminion, https://x.com/kidponga, https://x.com/janehk, https://x.com/Daryllautk, https://x.com/pet3rpan_, https://x.com/Shaughnessy119, https://x.com/notnotstorm, https://x.com/j0hnwang, https://x.com/sjdedic, https://x.com/jonathankingvc, https://x.com/0xMaki, https://x.com/n4motto, https://x.com/caitlinxyz, https://x.com/gakonst, https://x.com/MariaShen, https://x.com/mattyryze, https://x.com/roybitsir, https://x.com/delitzer, https://x.com/GrantStenger, https://x.com/tomhschmidt",2008-08-18 18:59:19+00:00,https://x.com/i/user/15894997
991062733675225088,Ashwin,22,"https://x.com/serg_xyz, https://x.com/QwQiao, https://x.com/KyleSamani, https://x.com/Darrenlautf, https://x.com/0xminion, https://x.com/janehk, https://x.com/Daryllautk, https://x.com/sandraaleow, https://x.com/masonnystrom, https://x.com/bridge__harris, https://x.com/panekkkk, https://x.com/firstc0in, https://x.com/lmrankhan, https://x.com/j0hnwang, https://x.com/0xMaki, https://x.com/MariaShen, https://x.com/mattyryze, https://x.com/zacxbt, https://x.com/AustinBarack, https://x.com/roybitsir, https://x.com/delitzer, https://x.com/tomhschmidt",2018-04-30 21:12:23+00:00,https://x.com/i/user/991062733675225088
1863957527529955328,Unit,22,"https://x.com/serg_xyz, https://x.com/0xRaghav, https://x.com/Darrenlautf, https://x.com/0xWenMoon, https://x.com/0xminion, https://x.com/kidponga, https://x.com/janehk, https://x.com/rishisthinking, https://x.com/Daryllautk, https://x.com/0xRainandCoffee, https://x.com/sandraaleow, https://x.com/bridge__harris, https://x.com/robbiepetersen_, https://x.com/firstc0in, https://x.com/j0hnwang, https://x.com/krybharat, https://x.com/jonathankingvc, https://x.com/0xMaki, https://x.com/yekiM_o, https://x.com/0xChanglu, https://x.com/zacxbt, https://x.com/roybitsir",2024-12-03 14:45:07+00:00,https://x.com/i/user/1863957527529955328
4823533990,Mene Mazarakis,22,"https://x.com/Darrenlautf, https://x.com/0xminion, https://x.com/janehk, https://x.com/rishisthinking, https://x.com/Daryllautk, https://x.com/masonnystrom, https://x.com/benlakoff, https://x.com/pet3rpan_, https://x.com/caseykcaruso, https://x.com/bridge__harris, https://x.com/Shaughnessy119, https://x.com/j0hnwang, https://x.com/0xMaki, https://x.com/0xChanglu, https://x.com/gakonst, https://x.com/alexgedevani, https://x.com/MariaShen, https://x.com/mattyryze, https://x.com/AustinBarack, https://x.com/roybitsir, https://x.com/GrantStenger, https://x.com/tomhschmidt",2016-01-18 09:03:42+00:00,https://x.com/i/user/4823533990
1661136128,alz,22,"https://x.com/Darrenlautf, https://x.com/0xminion, https://x.com/ishanee_, https://x.com/Daryllautk, https://x.com/0xRainandCoffee, https://x.com/sandraaleow, https://x.com/YeouJie, https://x.com/andyisnotandy, https://x.com/panekkkk, https://x.com/tkstanczak, https://x.com/Yedidbotton, https://x.com/lmrankhan, https://x.com/notnotstorm, https://x.com/j0hnwang, https://x.com/gakonst, https://x.com/MariaShen, https://x.com/mattyryze, https://x.com/roybitsir, https://x.com/GrantStenger, https://x.com/tomhschmidt, https://x.com/kapursanat, https://x.com/0xbilly",2013-08-10 22:58:48+00:00,https://x.com/i/user/1661136128
3181970364,𝚂𝚌𝚘𝚝𝚝 𝙼𝚘𝚘𝚛𝚎 🌐,22,"https://x.com/stutireal, https://x.com/0xminion, https://x.com/ishanee_, https://x.com/janehk, https://x.com/reganbozman, https://x.com/Daryllautk, https://x.com/benlakoff, https://x.com/pet3rpan_, https://x.com/bridge__harris, https://x.com/panekkkk, https://x.com/lmrankhan, https://x.com/j0hnwang, https://x.com/ncerovac, https://x.com/0xMaki, https://x.com/MariaShen, https://x.com/mattyryze, https://x.com/zacxbt, https://x.com/roybitsir, https://x.com/delitzer, https://x.com/GrantStenger, https://x.com/tomhschmidt, https://x.com/0xbilly",2015-05-01 17:52:06+00:00,https://x.com/i/user/3181970364
619916463,Paul Razvan Berg,22,"https://x.com/serg_xyz, https://x.com/QwQiao, https://x.com/KyleSamani, https://x.com/NTmoney, https://x.com/0xminion, https://x.com/janehk, https://x.com/pet3rpan_, https://x.com/Louissongyz, https://x.com/panekkkk, https://x.com/tkstanczak, https://x.com/firstc0in, https://x.com/j0hnwang, https://x.com/ncerovac, https://x.com/0xMaki, https://x.com/gakonst, https://x.com/MariaShen, https://x.com/mattyryze, https://x.com/zacxbt, https://x.com/AustinBarack, https://x.com/delitzer, https://x.com/tomhschmidt, https://x.com/0xbilly",2012-06-27 09:27:15+00:00,https://x.com/i/user/619916463
1269561030272643076,⁵⁄₉,22,"https://x.com/serg_xyz, https://x.com/0xminion, https://x.com/Daryllautk, https://x.com/0xRainandCoffee, https://x.com/andyisnotandy, https://x.com/benlakoff, https://x.com/bridge__harris, https://x.com/tkstanczak, https://x.com/firstc0in, https://x.com/notnotstorm, https://x.com/j0hnwang, https://x.com/0xMaki, https://x.com/yekiM_o, https://x.com/n4motto, https://x.com/caitlinxyz, https://x.com/gakonst, https://x.com/MariaShen, https://x.com/mattyryze, https://x.com/delitzer, https://x.com/GrantStenger, https://x.com/tomhschmidt, https://x.com/kapursanat",2020-06-07 09:25:20+00:00,https://x.com/i/user/1269561030272643076
